ID,original_SMILES,Chemgauss4,binding_free_energy,std_binding_error
DAR-DIA-43a5904b-7,NC(=O)[C@H]1CC(Cc2ccccc2)=C[C@H]1c1cccc(Cl)c1,-6.95997047424316,-6.387749359999999,0.1638341427159249
MIH-UNI-6b9ca91a-5,N#Cc1cccc(CNc2ccc(O)cc2)c1,-5.4286036491394,-6.296374684040394,3.7830654187939112
JOH-MSK-a63bdd1d-10,CN(C)CCc1c[nH]c2ccccc12,-5.55167675018311,-6.220470288287616,0.8627347942966102
WAR-XCH-b6889685-27,Cc1cccc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)c1,0.075671,-6.1892740387629175,1.1994384549471966
ALV-UNI-7ff1a6f9-46,O=C(Cc1ccc2ccccc2c1)Nc1cc(C(F)(F)F)ccn1,-0.698857,-6.149201989728045,0.21096586925858324
DAV-AUT-7eb4e0c3-2,CN1C[C@@H](c2ccc3c(c2)C(=O)N=[S@]3(C)=O)OCCC1=O,-9.5307,-6.009451880392158,0.04090280000000002
JOH-MSK-a63bdd1d-8,COc1ccc2[nH]c3c(c2c1)CCNC3,-7.830074,-6.000477115384584,0.0
DAR-DIA-23aa0b97-1,N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,-5.25837,-5.970168172981396,1.2580561301543787
ALV-UNI-7ff1a6f9-43,Cc1cn2c(-c3cccnc3)c(-c3ccc(F)cc3)nc2s1,-4.088367,-5.905066077148398,1.9734233951916944
SUN-DEP-1496052a-2,CC1=CCC(O)(C(C)C)CC1,-6.083421,-5.768152543443218,2.0326165848754423
TRY-UNI-1fd04853-10,N#Cc1ccnc(CNC(=O)Cc2c[nH]c3ncccc23)c1,-11.323847,-5.712723204040344,1.0497004040404079
CHR-SOS-7098f804-8,O=C(Nc1ccccc1)c1cccc(Cl)c1,-5.652315,-5.686312448686868,0.6795267369912339
JOH-MSK-ec639444-4,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,-4.76919651031494,-5.6319111303548866,2.2688646750034693
AGN-NEW-c7b24fe3-5,C#Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,-4.59582710266113,-5.614677419654612,6.308498802991085
ALV-UNI-7ff1a6f9-5,Cc1ccc2c(-c3cccnc3)c(-c3ccc(F)cc3)nn2n1,-3.817697,-5.612380407692299,0.04921674168782141
GIA-UNK-5ec6c2b8-5,O=C(S)C1CCN(C(=O)Cc2ccccc2)CC1,-4.99714326858521,-5.605222564178899,5.274448992326705
DOU-UNK-b5326f8f-12,O=C1Cc2cc(-c3nnco3)sc2-c2ccccc21,-4.417357,-5.601350739797985,0.13470721476736972
MAK-UNK-5e88aa6a-13,Cc1cnc(-c2ccsc2)nc1,-7.533288,-5.567843502020196,0.0
WAR-XCH-b72a1bbc-3,NS(=O)(=O)c1ccc(-c2ccsc2)cc1,-5.893764,-5.536033664646467,0.09140884827766499
MIH-UNI-e573136b-11,O=C(CCl)N1Cc2ccccc2C(C2CCCS2)C1,-8.518147,-5.426199110724674,4.039602868061159
NAU-LAT-ec9c7557-2,O=C1Nc2c(cc(-c3ccncc3)cc2C(F)(F)F)C1=O,-5.25276327133179,-5.425946524949069,3.6252573257720457
ALE-HEI-f28a35b5-1,Cc1ccncc1NC(=O)Nc1ccccc1,-4.235008,-5.3844944757575774,0.3713558931392657
NIR-THE-c331be7a-2,N#Cc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,-7.416503,-5.330517300000004,0.3813242751989085
GIA-UNK-5ec6c2b8-1,O=C(S)C1CCN(C(=O)c2ccccc2)CC1,-5.26096439361572,-5.2928889976291345,3.242204468164805
AUS-ARG-7cfdce8f-18,c1cnc2nc(SCCC34CC5CC(CC(C5)C3)C4)nn2c1,-9.050965,-5.253233685714289,0.042487000000004826
STE-UNK-dfade101-2,Cc1cc(Cc2cnccc2C)n[nH]1,-9.555629,-5.225190243846146,0.1098343289295466
DAR-DIA-842b4336-20,N#Cc1cnc(NC(=O)Cc2cc3cccnc3[nH]2)o1,-5.165152,-5.198893240000018,0.8966633626097408
JOH-UNI-9dc98897-3,N#Cc1cc(F)c(N2CCCOCC2)cn1,-6.503911,-5.194038698587164,0.14107141826809433
TRY-UNI-714a760b-1,Cc1c(N)cncc1NC(=O)CC1CCCCC1,-6.08684635162354,-5.166970782169727,0.4501000306735086
ANT-DIA-b7f58f21-3,CS(=O)(=O)NCCc1ccccc1O,-4.78243064880371,-5.165325909090907,5.489708353697475
HAN-NEW-5f56c3bc-1,Cc1ncncc1NC(=O)Nc1ccccc1,-1.195313,-5.158626144238639,0.5095734497175171
JOH-MSK-35a8745a-1,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,-8.540813,-5.038109600000013,0.060674999999989154
MUS-SCH-c2f96c06-4,OCc1ccncc1-c1cc(CCc2cn[nH]c2)ccn1,-1.124989,-4.973331539230784,0.09387710868706095
ANT-DIA-3c79be55-2,N#Cc1ccccc1NC(=O)Cc1cccnc1,-7.423989,-4.898661239999996,0.5169325397457971
GIA-UNK-995df016-17,O=C(SCF)C1CCN(C(=O)c2ccc[nH]2)CC1,-5.95411777496338,-4.878647204367795,5.371359663956953
SAL-INS-1c7a5a55-6,O=C(CCl)N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2c[nH]cn2)C1,-6.33078861236572,-4.830868722222222,0.14150152575992933
GIA-UNK-995df016-3,O=C(SCF)C1CCN(C(=O)C2CC2)CC1,-4.68108415603638,-4.816782840000016,2.1478806183810466
VIJ-CYC-1a381570-12,CC(C)[C@@H](C#N)NS(=O)(=O)c1ccc(CF)cc1,-7.813967,-4.732154606853385,0.3439617577681806
GER-UNI-cad0fe83-1,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-7.59986,-4.6742389391413965,0.09645063559177863
NAU-LAT-ec9c7557-5,O=C1Nc2ccccc2C1(c1ccccc1)c1ccccc1O,-5.9029688835144,-4.595670652276617,0.6142256889994819
CHR-SOS-7098f804-12,O=C(Nc1cccnc1)c1cccc(Cl)c1,-9.620449,-4.494363960594029,1.1350931702884552
GIA-UNK-995df016-13,O=C(SCF)C1CCN(C(=O)C2CCCC2)CC1,-4.65887403488159,-4.488709803838361,1.622808702000702
WAR-XCH-b6889685-3,CN(CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1)c1cccs1,-8.388055,-4.4713420800000065,0.1267971565022731
SUN-DEP-1496052a-1,CC1=CCC(C(C)(C)O)CC1,-6.045083,-4.4478991555202185,1.8542298833984612
DUN-NEW-f8ce3686-12,CC(=O)NCCc1c[nH]c2ccc(C#N)cc12,-5.37841176986694,-4.440789507904828,4.1384355290587775
ANN-UNI-26382800-1,CCNc1ccc(-c2cccc(=O)[nH]2)cn1,-5.965827,-4.403245953211297,5.592616039198541
JON-UIO-066ce08b-14,C[C@H](NC(=O)C(F)F)c1cccc(F)c1,-5.387918,-4.368486099999998,2.4790337764892314
ALV-UNI-7ff1a6f9-4,Cc1cnc2c(c1)nc(-c1ccc(F)cc1)n2-c1ccncc1,-7.692672,-4.353898407944776,0.19931261094161562
PHI-UNK-c3ab17cb-1,N#Cc1ccc(C(N)=O)c(CNC(=O)C2CCOCC2)c1,-8.594815,-4.331936919999919,0.5082344563823511
LIZ-THE-f118233e-1,Nc1cnc(OC(=O)N2CCN(C(=O)c3ccsc3)CC2)nc1,-1.269837,-4.326600107828284,0.08823414948839767
WAR-XCH-b72a1bbc-4,Cc1ccncc1-c1ccc(S(N)(=O)=O)cc1,-6.754902,-4.294462221632653,2.315093239710617
DOU-UNK-b5326f8f-16,CCOC1CCC(C#N)c2cc(-c3nnco3)sc21,-8.000514,-4.283819960544214,8.113457557677235
